UF,Municipio,Profissao,Quantidade,PctFeminino,MediaIdade,MediaRendTotal,MediaRendTrib,MediaPatrimonio
ES,AGUA DOCE DO NORTE,"Dirigente, presidente e diretor de empresa industrial, comercial ou prestadora de serviços",86,0.3488372093023256,44.68604651162791,71681.42639534884,41085.722674418605,240887.31290697676
ES,AGUA DOCE DO NORTE,"Enfermeiro de nível superior, nutricionista, farmacêutico e afins",18,0.7222222222222222,38.22222222222222,69819.32333333333,54772.11555555555,87950.68166666667
ES,AGUA DOCE DO NORTE,"Gerente ou supervisor de empresa industrial, comercial ou prestadora de serviços",11,0.2727272727272727,43.45454545454545,107752.14818181818,48019.49909090909,173460.53
ES,AGUA DOCE DO NORTE,"Motorista e condutor do transporte de passageiros (motorista de taxi, ônibus, pequena embarcação etc)",23,0.043478260869565216,49.26086956521739,47828.50043478261,42569.458695652174,43572.45695652174
ES,AGUA DOCE DO NORTE,Odontólogo,12,0.6666666666666666,38.083333333333336,68857.52500000001,57656.07000000001,91399.70666666667
ES,AGUA DOCE DO NORTE,Outras ocupações não especificadas anteriormente,249,0.3333333333333333,41.42168674698795,61703.93771084337,46595.61891566266,95749.32903614457
ES,AGUA DOCE DO NORTE,Outros trabalhadores de serviços diversos,27,0.18518518518518517,46.148148148148145,56244.90851851851,51619.352222222224,6791.661481481482
ES,AGUA DOCE DO NORTE,"Pedagogo, orientador educacional",12,1,43.083333333333336,94313.4875,84485.25,8273.319166666666
ES,AGUA DOCE DO NORTE,Policial Militar,13,0.15384615384615385,39,152214.15230769227,129547.90076923076,54566.95538461539
ES,AGUA DOCE DO NORTE,Produtor na exploração agropecuária,74,0.13513513513513514,52.28378378378378,171226.0085135135,42485.01108108108,594537.7886486488
ES,AGUA DOCE DO NORTE,Professor do ensino fundamental,119,0.8739495798319328,46.134453781512605,85278.30680672268,75914.63890756301,38919.49420168067
ES,AGUA DOCE DO NORTE,Professor do ensino médio,49,0.8163265306122449,39.6530612244898,85561.95244897959,72048.10020408162,34113.00265306123
ES,AGUA DOCE DO NORTE,Professor na educação infantil,37,0.8918918918918919,44.75675675675676,88131.97432432431,76014.07513513514,21669.363513513512
ES,AGUA DOCE DO NORTE,Sacerdote ou membro de ordens ou seitas religiosas,11,0.09090909090909091,50.63636363636363,97060.72818181818,66857.26454545454,122036.81636363636
ES,AGUA DOCE DO NORTE,"Servidor das demais carreiras da administração pública direta, autárquica e fundacional",14,0.42857142857142855,45.5,80727.86857142857,70975.03642857142,59369.84071428572
ES,AGUA DOCE DO NORTE,Técnico da ciência da saúde humana,11,0.8181818181818182,36.09090909090909,55666.802727272734,45564.25818181817,3521.7727272727275
ES,AGUA DOCE DO NORTE,Trabalhador da indústria extrativa e da construção civil,20,0,35.2,49790.621,41968.22900000001,45934.909
ES,AGUA DOCE DO NORTE,"Trabalhador de atendimento ao público, caixa, despachante, recenseador e afins",11,0.6363636363636364,45.54545454545455,46810.16818181818,34763.22909090909,11356.023636363638
ES,AGUA DOCE DO NORTE,Trabalhador de reparação e manutenção,10,0,39,59844.085,50301.199,17353.277000000002
ES,AGUA DOCE DO NORTE,Trabalhador dos serviços de saúde,14,0.6428571428571429,44.5,52561.58714285713,47921.38928571429,3276.713571428572
ES,AGUA DOCE DO NORTE,Trabalhador na  exploração agropecuária,10,0.2,41.1,69330.90199999999,30239.895999999997,290448.181
ES,AGUA DOCE DO NORTE,"Vendedor e prestador de serviços do comércio, ambulante, caixeiro-viajante e camelô",16,0.5625,35.6875,53169.011875,40941.104374999995,76853.30125
ES,AGUIA BRANCA,,164,0.5853658536585366,60.109756097560975,102028.44439024391,61383.61201219513,138827.6681097561
ES,AGUIA BRANCA,Advogado,14,0.6428571428571429,39.857142857142854,106248.60071428571,59551.34857142857,287363.635
ES,AGUIA BRANCA,"Bancário, economiário, escriturário, secretário, assistente e auxiliar administrativo",33,0.6666666666666666,41.54545454545455,86525.75969696968,69317.54333333332,105875.08030303029
ES,AGUIA BRANCA,"Dirigente, presidente e diretor de empresa industrial, comercial ou prestadora de serviços",92,0.358695652173913,43.77173913043478,288128.0245652173,53874.78,517160.6531521738
ES,AGUIA BRANCA,"Enfermeiro de nível superior, nutricionista, farmacêutico e afins",24,0.7916666666666666,33.25,74050.79375,64019.14875,41966.15625000001
ES,AGUIA BRANCA,"Motorista e condutor do transporte de passageiros (motorista de taxi, ônibus, pequena embarcação etc)",17,0,50.35294117647059,95280.12352941178,42531.4505882353,115914.71588235293
ES,AGUIA BRANCA,Outras ocupações não especificadas anteriormente,249,0.40160642570281124,46.22088353413655,126595.92240963857,51666.6659437751,165307.45907630524
ES,AGUIA BRANCA,Outros trabalhadores de serviços diversos,39,0.23076923076923078,41.46153846153846,62608.314358974356,43978.19256410257,111676.92102564103
ES,AGUIA BRANCA,Policial Militar,26,0.07692307692307693,41.80769230769231,142484.63076923077,116187.35923076925,65444.193461538474
ES,AGUIA BRANCA,Produtor na exploração agropecuária,191,0.24607329842931938,50.617801047120416,281908.5678534031,75367.95617801047,554259.072303665
ES,AGUIA BRANCA,Professor do ensino fundamental,131,0.8396946564885496,42.61068702290076,87277.07076335879,69069.82091603053,72636.7938167939
ES,AGUIA BRANCA,Professor do ensino médio,42,0.6904761904761905,40.095238095238095,96857.91023809524,80759.98833333334,69030.49523809522
ES,AGUIA BRANCA,Professor na educação infantil,39,0.9487179487179487,41.666666666666664,70378.68538461538,57594.01692307692,68861.73282051283
ES,AGUIA BRANCA,"Servidor das demais carreiras da administração pública direta, autárquica e fundacional",39,0.3076923076923077,50.282051282051285,106543.05076923079,75457.27820512821,123020.14358974357
ES,AGUIA BRANCA,Técnico da ciência da saúde humana,11,0.9090909090909091,31.272727272727273,49795.475454545456,45130.500909090915,5909.715454545455
ES,AGUIA BRANCA,Trabalhador da indústria extrativa e da construção civil,22,0.09090909090909091,40.68181818181818,63606.69636363638,45584.46272727273,80518.1709090909
ES,AGUIA BRANCA,Trabalhador dos serviços de saúde,10,0.8,44.5,45480.234,41313.588,118887.13599999998
ES,AGUIA BRANCA,Trabalhador na  exploração agropecuária,13,0.23076923076923078,40.76923076923077,180672.89692307694,56836.46692307692,259986.58923076926
ES,AGUIA BRANCA,"Vendedor e prestador de serviços do comércio, ambulante, caixeiro-viajante e camelô",13,0.38461538461538464,34,60291.44307692307,50872.07538461538,214941.01153846152
ES,ALEGRE,,1056,0.584280303030303,67.24621212121212,127877.57099431819,71663.30732007576,248966.70678977275
ES,ALEGRE,Advogado,32,0.375,44.78125,117708.81125,70084.08312500002,257934.44281249997
ES,ALEGRE,Agrônomo e afins,23,0.2608695652173913,39.391304347826086,191227.50782608695,115544.98173913044,336911.04
ES,ALEGRE,"Analista de sistemas, desenvolvedor de software, administrador de redes e bancos de dados e outros especialistas em informática (exceto técnico)",33,0.15151515151515152,29.87878787878788,118066.13181818182,81547.4503030303,63860.46878787878
ES,ALEGRE,"Bancário, economiário, escriturário, secretário, assistente e auxiliar administrativo",150,0.54,44.24666666666667,109989.09346666666,82187.66619999999,162620.55520000003
ES,ALEGRE,"Biólogo, biomédico e afins",14,0.7142857142857143,39.785714285714285,108404.4007142857,93845.45142857144,147033.5607142857
ES,ALEGRE,"Delegado de Polícia e outros servidores das carreiras de polícia, exceto militar",11,0.2727272727272727,41.18181818181818,159357.1009090909,128260.15272727273,66197.26090909091
ES,ALEGRE,"Dirigente superior da administração pública (ocupante de cargo de direção, chefia, assessoria e de natureza especial), inclusive os das fundações públicas e autarquias",16,0.3125,44.875,77573.750625,67819.926875,119216.38687500001
ES,ALEGRE,"Dirigente, presidente e diretor de empresa industrial, comercial ou prestadora de serviços",306,0.3790849673202614,47.04248366013072,105057.77895424838,41675.14049019608,381130.6998692811
ES,ALEGRE,"Economista, administrador, contador, auditor e afins",24,0.4166666666666667,43.875,168862.22791666666,106660.57333333336,458828.81125
ES,ALEGRE,"Enfermeiro de nível superior, nutricionista, farmacêutico e afins",100,0.76,40.96,90559.2431,62594.682400000005,67694.55140000001
ES,ALEGRE,"Engenheiro, arquiteto e afins",42,0.19047619047619047,40.285714285714285,189081.26357142857,94283.98428571428,562669.2054761904
ES,ALEGRE,Fisioterapeuta,10,0.6,32.8,52762.255000000005,49370.908,42148.368
ES,ALEGRE,"Gerente ou supervisor de empresa industrial, comercial ou prestadora de serviços",28,0.25,46.607142857142854,142031.925,79091.77464285716,408217.61035714287
ES,ALEGRE,Médico,62,0.43548387096774194,45.516129032258064,434248.5561290323,224155.99516129037,1133326.246451613
ES,ALEGRE,"Motorista e condutor do transporte de passageiros (motorista de taxi, ônibus, pequena embarcação etc)",139,0.1223021582733813,48.69064748201439,80565.83913669064,50656.81568345324,98381.08043165467
ES,ALEGRE,Odontólogo,43,0.6511627906976745,39.116279069767444,110998.48162790695,89179.91744186048,312170.8130232558
ES,ALEGRE,Outras ocupações não especificadas anteriormente,593,0.3288364249578415,45.11804384485666,70120.34387858347,51295.69885328837,85462.76910623949
ES,ALEGRE,Outros técnicos de nível médio,117,0.3247863247863248,46.794871794871796,97037.6272649573,76059.8629059829,176883.13683760684
ES,ALEGRE,Outros trabalhadores de serviços diversos,90,0.18888888888888888,45.72222222222222,56655.66711111112,48659.26655555556,93279.22788888888
